"","PATID","AGRELIGN"
"1",948442,6
"2",85038,6
"3",626492,1
"4",632936,2
"5",415576,1
"6",471334,1
"7",626802,6
"8",422129,6
"9",29321,1
"10",496667,1
"11",439591,1
"12",723713,6
"13",874946,6
"14",364554,1
"15",943156,6
"16",406473,2
"17",235749,2
"18",399684,6
"19",991520,2
"20",927605,6
"21",733283,6
"22",309573,1
"23",284106,4
"24",588958,1
"25",881988,6
"26",953263,6
"27",590223,1
"28",571333,6
"29",951079,6
"30",661436,1
"31",9394,6
"32",3860,6
"33",66463,6
"34",575217,6
"35",166535,1
"36",524053,6
"37",348341,6
"38",977321,6
"39",75450,1
"40",953291,6
"41",68219,6
"42",38154,6
"43",406151,6
"44",319699,1
"45",365912,6
"46",567784,6
"47",367149,1
"48",203327,1
"49",423227,6
"50",459819,1
"51",605507,6
"52",898772,6
"53",187864,6
"54",613638,99
"55",85762,6
"56",327908,1
"57",579880,6
"58",129058,1
"59",934111,6
"60",929784,6
"61",312803,2
"62",15960,6
"63",116970,1
"64",84777,6
"65",622576,1
"66",890714,1
"67",768875,1
"68",323,1
"69",956703,6
"70",328428,1
"71",846003,1
"72",929236,1
"73",313513,1
"74",229784,6
"75",804958,2
"76",504133,1
"77",884099,6
"78",54463,1
"79",803304,1
"80",343108,2
"81",589376,1
"82",865370,6
"83",651252,6
"84",653992,1
"85",971489,6
"86",479699,6
"87",973227,1
"88",660191,6
"89",969677,1
"90",239480,97
"91",255777,1
"92",902833,1
"93",666056,1
"94",810682,6
"95",407944,2
"96",290431,1
"97",862922,99
"98",850049,1
"99",678351,1
"100",447336,1
"101",516229,6
"102",566671,99
"103",383094,1
"104",290552,1
"105",56338,6
"106",13683,1
"107",333665,1
"108",146570,6
"109",443486,1
"110",83504,2
"111",953982,1
"112",878683,1
"113",495984,1
"114",555208,2
"115",436433,2
"116",860413,6
"117",868986,1
"118",764255,6
"119",230513,1
"120",676458,1
"121",302813,6
"122",758677,1
"123",607555,6
"124",430086,6
"125",552427,1
"126",314229,1
"127",739537,6
"128",451263,6
"129",218544,6
"130",873667,6
"131",601547,1
"132",445967,1
"133",69597,6
"134",226472,6
"135",557639,1
"136",292708,1
"137",570177,1
"138",103147,1
"139",556658,1
"140",104154,2
"141",252923,6
"142",325955,1
"143",701989,6
"144",589574,1
"145",201969,2
"146",549280,1
"147",658221,6
"148",299813,6
"149",518990,6
"150",622761,1
"151",496939,6
"152",984852,1
"153",600269,1
"154",415630,6
"155",121814,1
"156",983386,2
"157",750788,1
"158",135077,1
"159",308254,2
"160",378603,1
"161",617903,1
"162",664128,1
"163",621452,1
"164",302372,1
"165",595866,6
"166",320155,6
"167",331582,6
"168",715362,1
"169",148970,1
"170",47563,1
"171",220700,1
"172",516165,6
"173",387238,1
"174",166766,2
"175",654135,99
"176",170238,6
"177",668152,6
"178",230414,1
"179",831138,2
"180",269460,1
"181",328303,2
"182",485633,99
"183",677056,1
"184",594321,2
"185",882077,1
"186",948575,2
"187",383953,1
"188",677638,1
"189",156808,1
"190",368477,99
"191",780180,1
"192",495148,6
"193",990538,2
"194",443157,2
"195",72961,1
"196",32882,1
"197",112224,6
"198",689093,6
"199",960137,6
"200",213606,2
"201",349234,6
"202",330885,1
"203",990897,6
"204",747772,1
"205",251964,6
"206",806392,1
"207",902709,1
"208",269000,2
"209",27766,6
"210",417777,1
"211",860712,2
"212",982653,1
"213",238539,1
"214",605518,2
"215",18945,6
"216",84008,1
"217",981890,1
"218",635237,1
"219",812238,6
"220",109012,6
"221",853930,6
"222",941607,1
"223",187018,1
"224",635376,99
"225",98497,6
"226",712016,6
"227",235441,99
"228",384484,1
"229",443240,6
"230",851919,1
"231",522249,6
"232",602196,99
"233",444724,6
"234",569669,99
"235",563843,99
"236",557495,6
"237",5114,99
"238",188392,6
"239",680744,6
"240",265973,6
"241",357223,6
"242",703607,2
"243",294534,6
"244",902023,6
"245",299910,1
"246",100337,2
"247",398541,6
"248",691299,1
"249",824392,2
"250",78354,6
"251",299720,2
"252",614589,6
"253",956514,2
"254",77806,2
"255",627742,2
"256",476912,2
"257",73870,6
"258",849340,2
"259",15790,6
"260",443481,2
"261",245894,6
"262",816827,6
"263",176584,2
"264",247889,6
"265",221774,6
"266",294627,6
"267",36329,2
"268",868515,2
"269",184827,2
"270",38500,6
"271",920590,2
"272",366664,6
"273",607516,2
"274",55791,2
"275",207443,2
"276",182392,2
"277",262839,2
"278",689013,2
"279",18820,2
"280",801028,2
"281",295383,2
"282",431866,6
"283",853601,6
"284",931160,2
"285",191327,2
"286",562839,2
"287",654351,2
"288",233982,99
"289",162126,2
"290",868561,6
"291",345059,6
"292",939998,2
"293",267838,2
"294",945599,6
"295",455547,2
"296",910235,2
"297",759000,6
"298",568127,1
"299",780044,2
"300",806582,2
"301",285911,6
"302",584191,1
"303",822799,6
"304",865223,6
"305",631014,2
"306",350520,2
"307",946669,2
"308",878439,6
"309",391265,2
"310",918776,6
"311",688602,2
"312",161114,6
"313",262549,6
"314",330801,99
"315",444286,99
"316",427462,6
"317",283422,2
"318",978894,6
"319",650788,2
"320",538913,2
"321",271562,4
"322",60772,99
"323",893438,2
"324",595670,1
"325",878399,2
"326",690586,2
"327",481484,2
"328",217317,6
"329",887535,2
"330",365534,6
"331",918569,2
"332",802832,2
"333",25278,2
"334",108993,2
"335",34837,99
"336",662341,1
"337",930060,99
"338",932054,6
"339",614109,4
"340",225025,2
"341",208462,99
"342",192210,1
"343",887593,6
"344",569682,6
"345",670370,2
"346",743645,6
"347",174187,2
"348",72729,6
"349",357709,4
"350",243176,4
"351",84741,6
"352",309086,2
"353",605604,99
"354",676435,6
"355",699688,2
"356",457793,4
"357",660800,4
"358",272302,4
"359",500193,2
"360",860725,6
"361",418711,4
"362",611412,1
"363",170538,6
"364",603049,4
"365",605995,1
"366",42522,2
"367",937856,1
"368",159330,2
"369",827523,2
"370",517374,2
"371",946505,6
"372",498652,2
"373",567485,99
"374",696317,6
"375",752899,1
"376",773495,2
"377",24212,6
"378",983939,2
"379",27328,2
"380",52666,6
"381",554099,3
"382",801754,99
"383",860981,1
"384",475610,99
"385",54033,2
"386",737600,2
"387",5995,2
"388",181239,1
"389",3735,6
"390",210591,1
"391",778380,2
"392",51512,2
"393",568007,99
"394",892944,1
"395",538013,2
"396",119573,99
"397",21549,99
"398",660404,4
"399",34098,2
"400",956298,4
"401",647678,1
"402",824491,2
"403",602666,1
"404",498984,6
"405",624651,2
"406",312985,2
"407",903998,6
"408",771169,2
"409",874207,6
"410",617413,6
"411",275669,99
"412",4138,99
"413",917247,6
"414",545633,99
"415",179301,2
"416",197782,2
"417",339314,99
"418",239253,3
"419",770022,4
"420",487631,2
"421",850623,2
"422",272517,6
"423",18907,99
"424",62736,6
"425",841420,6
"426",515297,99
"427",759274,6
"428",750023,99
"429",868551,99
"430",129341,99
"431",475971,6
"432",298095,6
"433",967767,6
"434",330850,2
"435",79414,6
"436",825139,99
"437",235376,1
"438",629370,99
"439",141834,99
"440",429057,1
"441",714799,6
"442",302952,99
"443",6393,6
"444",726207,99
"445",635302,6
"446",903633,6
"447",83140,2
"448",103959,6
"449",75035,2
"450",270174,99
"451",372998,99
"452",300843,6
"453",843318,2
"454",395566,99
"455",661416,1
"456",664797,99
"457",974758,6
"458",289698,99
"459",596523,6
"460",288644,6
"461",579750,99
"462",798232,6
"463",466409,99
"464",990732,99
"465",237907,99
"466",948194,6
"467",7436,6
"468",897701,99
"469",899431,6
"470",386045,6
"471",756773,99
"472",631640,6
"473",604560,99
"474",936471,99
"475",405417,6
"476",117720,99
"477",422021,6
"478",3424,99
"479",894881,6
"480",411193,99
"481",833002,6
"482",457125,6
"483",288749,6
"484",80936,2
"485",473119,4
"486",707054,2
"487",558511,6
"488",771660,2
"489",959778,99
"490",349886,2
"491",94437,6
"492",209515,99
"493",63334,2
"494",730551,99
"495",751676,3
"496",657780,2
"497",622536,99
"498",593084,6
"499",441821,99
"500",68589,6
"501",197663,99
"502",359499,2
"503",684119,6
"504",918733,2
"505",433423,2
"506",147852,6
"507",650352,99
"508",264091,2
"509",473102,6
"510",857691,6
"511",775126,2
"512",405435,99
"513",672007,99
"514",656540,99
"515",799339,2
"516",517815,6
"517",274741,99
"518",403451,6
"519",245309,6
"520",156943,99
"521",767299,1
"522",713490,6
"523",883484,6
"524",633693,2
"525",185534,99
"526",750304,6
"527",679295,6
"528",497002,6
