precinct_2020,total_pop,white,black,other,hisp_latino
1,66679,50484,2162,14033,4676
5,52568,13436,2784,36348,5910
6,62226,53227,1316,7683,3781
7,56355,21520,5992,28843,17976
9,76443,48175,6904,21364,18291
10,50180,35838,4171,10171,8821
13,93640,70786,4864,17990,8565
14,20651,12868,1481,6302,2198
17,79126,63691,1711,13724,4595
18,54066,37624,3106,13336,8883
19,208259,178395,5365,24499,13827
20,102624,84116,4511,13997,8609
22,25,6,18,1,6
23,73106,24574,22948,25584,36656
24,106460,72133,14662,19665,22738
25,47405,10886,21943,14576,22634
26,49508,23703,11610,14195,12277
28,44781,9799,27033,7949,9393
30,60685,14707,21103,24875,34825
32,70942,7498,51411,12033,16299
33,76958,22218,14215,40525,57168
34,113062,47323,12314,53425,77808
40,91497,21270,31385,38842,64887
41,52246,12955,15828,23463,39089
42,79762,13814,38416,27532,46013
43,172122,40191,65492,66439,99213
44,146441,25956,58890,61595,92338
45,120833,61310,31256,28267,44175
46,128200,23931,46932,57337,85600
47,152374,21739,105538,25097,34919
48,83266,23662,28195,31409,53447
49,114712,50305,28570,35837,48721
50,101720,54359,15730,31631,44156
52,139307,37395,35034,66878,90981
60,104278,66276,14998,23004,17423
61,159645,121073,5940,32632,13029
62,181981,100902,1894,79185,24239
63,108646,49114,48543,10989,9247
66,191382,134948,5312,51122,24854
67,155252,3902,142116,9234,10536
68,124491,85271,2288,36932,17868
69,84480,6885,70837,6758,7059
70,160664,67162,60984,32518,25165
71,98429,20812,70414,7203,9157
72,126230,52711,5849,67670,57375
73,86468,5148,70679,10641,17369
75,183328,26869,105452,51007,67131
76,43694,29343,7204,7147,9543
77,90744,15454,65502,9788,10759
78,66664,49139,6940,10585,10248
79,90263,20375,54877,15011,20014
81,62722,4581,50302,7839,10474
83,112634,34183,28095,50356,73616
84,48196,33297,6470,8429,6078
88,51421,18769,23376,9276,8093
90,116836,80364,9974,26498,37920
94,56247,45462,2037,8748,9088
100,47913,29895,12694,5324,7161
101,67065,19193,35263,12609,16941
102,144215,53920,14911,75384,58785
103,105803,12006,48235,45562,29343
104,170190,120143,4320,45727,58947
105,188582,33672,107918,46992,22337
106,122441,43894,22601,55946,28309
107,151107,65452,20719,64936,25621
108,113200,50190,2937,60073,39207
109,247354,95236,6596,145522,41164
110,172634,50935,11427,110272,90314
111,116431,61915,2633,51883,11676
112,112070,71381,3240,37449,15128
113,120132,3036,104953,12143,9783
114,202766,116720,23533,62513,54441
115,171576,66142,13700,91734,110108
120,113008,58854,28373,25781,29914
121,118708,73769,16688,28251,27252
122,138982,119790,3397,15795,15903
123,98032,89264,1399,7369,7982
