"","county","n"
"1","Alamance",77
"2","Alexander",1
"3","Alleghany",1
"4","Anson",7
"5","Ashe",4
"6","Avery",5
"7","Beaufort",37
"8","Bertie",10
"9","Bladen",9
"10","Brunswick",88
"11","Buncombe",218
"12","Burke",26
"13","Cabarrus",82
"14","Caldwell",32
"15","Camden",4
"16","Carteret",107
"17","Caswell",5
"18","Catawba",88
"19","Chatham",34
"20","Cherokee",7
"21","Chowan",8
"22","Clay",2
"23","Cleveland",51
"24","Columbus",39
"25","Craven",77
"26","Cumberland",279
"27","Currituck",21
"28","Dare",121
"29","Davidson",45
"30","Davie",11
"31","Duplin",27
"32","Durham",340
"33","Edgecombe",69
"34","Forsyth",165
"35","Franklin",14
"36","Gaston",151
"37","Gates",4
"38","Graham",1
"39","Granville",17
"40","Greene",7
"41","Guilford",502
"42","Halifax",49
"43","Harnett",53
"44","Haywood",12
"45","Henderson",49
"46","Hertford",22
"47","Hoke",25
"48","Hyde",7
"49","Iredell",115
"50","Jackson",6
"51","Johnston",103
"52","Jones",6
"53","Lee",31
"54","Lenoir",83
"55","Lincoln",21
"56","Macon",3
"57","Madison",4
"58","Martin",15
"59","Mcdowell",9
"60","Mecklenburg",827
"61","Mitchell",1
"62","Montgomery",5
"63","Moore",53
"64","Nash",117
"65","New Hanover",477
"66","Northampton",7
"67","Onslow",136
"68","Orange",172
"69","Pamlico",15
"70","Pasquotank",56
"71","Pender",22
"72","Perquimans",3
"73","Person",14
"74","Pitt",170
"75","Polk",3
"76","Randolph",64
"77","Richmond",23
"78","Robeson",150
"79","Rockingham",43
"80","Rowan",105
"81","Rutherford",24
"82","Sampson",28
"83","Scotland",29
"84","Stanly",24
"85","Stokes",7
"86","Surry",14
"87","Swain",6
"88","Transylvania",14
"89","Tyrrell",3
"90","Union",89
"91","Vance",22
"92","Wake",1045
"93","Warren",3
"94","Washington",11
"95","Watauga",58
"96","Wayne",81
"97","Wilkes",10
"98","Wilson",98
"99","Yadkin",9
"100","Yancey",2
"101",NA,21
